KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55360502,0,,,2317,1135,1182,610,318,292,1682,803,879,1285,638,647,1602,757,845,1568,741,827,397,165,232,234,82,152,125,32,93,24,3,21,19,12,7,656,654,56,148,134,207,84,19,6,587,533,54,152,158,4,20,54
55360503,0,,,47,24,23,4,1,3,43,23,20,22,14,8,42,22,20,42,22,20,21,9,12,12,6,6,1,1,0,0,0,0,0,0,0,20,20,5,8,3,3,1,0,0,15,12,3,0,13,0,1,6
55360506,2,55360507,,10,4,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55360507,1,,55360506,3288,1596,1692,545,272,273,2750,1325,1425,2204,1083,1121,2606,1253,1353,2531,1221,1310,546,242,304,256,99,157,82,24,58,6,0,6,15,5,10,1078,1077,122,271,292,279,85,24,8,952,830,122,158,350,2,47,90
55360508,0,,,3404,1622,1782,508,249,259,2847,1344,1503,2031,1002,1029,2751,1302,1449,2703,1279,1424,816,342,474,438,173,265,120,40,80,6,2,4,57,15,42,1379,1374,413,386,264,209,68,22,12,945,804,141,156,544,75,131,150
55360509,0,,,2526,1217,1309,353,183,170,2159,1025,1134,1500,760,740,2067,976,1091,2019,952,1067,659,265,394,320,115,205,92,27,65,9,3,6,18,10,8,951,947,212,269,227,147,63,18,11,730,617,113,94,431,22,87,111
55360512,0,,,617,295,322,191,95,96,383,178,205,322,158,164,369,170,199,363,168,195,61,20,41,38,8,30,27,3,24,2,0,2,8,4,4,185,183,24,32,43,59,21,4,0,147,139,8,65,17,4,0,7
55360513,0,,,593,286,307,61,24,37,531,262,269,324,163,161,512,251,261,494,243,251,207,99,108,91,37,54,29,11,18,1,1,0,0,0,0,207,207,40,66,35,35,16,10,5,165,133,32,11,135,1,30,42
55360517,0,,,1188,572,616,162,95,67,1018,473,545,744,353,391,987,461,526,965,447,518,274,120,154,136,56,80,33,9,24,3,0,3,10,1,9,442,442,98,130,89,82,28,11,4,338,287,51,42,180,15,30,46
55360518,0,,,2069,991,1078,306,161,145,1749,821,928,1227,587,640,1676,793,883,1641,769,872,522,234,288,260,117,143,77,32,45,5,3,2,14,9,5,790,788,180,262,156,112,49,22,7,597,522,75,84,335,34,71,110
55360519,0,,,1925,937,988,223,119,104,1701,817,884,1248,598,650,1626,782,844,1582,766,816,453,219,234,168,77,91,29,12,17,0,0,0,8,4,4,686,686,112,207,180,112,48,20,7,569,485,84,46,305,3,65,84
55360523,0,,,264,126,138,9,6,3,254,120,134,149,75,74,251,118,133,248,116,132,105,45,60,55,23,32,13,5,8,0,0,0,0,0,0,98,98,22,31,19,14,7,3,2,76,50,26,2,69,0,10,13
55360524,0,,,306,141,165,25,12,13,280,129,151,183,87,96,263,120,143,256,115,141,97,42,55,47,23,24,8,1,7,0,0,0,7,6,1,115,115,27,36,22,19,5,4,2,88,74,14,3,63,6,11,20
55360527,0,,,1419,708,711,185,99,86,1233,608,625,967,488,479,1194,585,609,1165,568,597,266,120,146,117,43,74,36,12,24,1,1,0,0,0,0,494,494,80,145,126,81,35,18,9,411,339,72,51,181,7,30,46
55360528,0,,,552,243,309,52,29,23,499,213,286,281,138,143,482,205,277,472,201,271,218,75,143,141,36,105,91,17,74,28,4,24,1,0,1,163,162,29,50,36,26,12,5,4,131,95,36,15,81,1,14,15
55360529,0,,,122,57,65,7,4,3,115,53,62,96,42,54,113,52,61,109,51,58,19,11,8,5,1,4,1,1,0,0,0,0,0,0,0,44,44,5,16,13,5,4,1,0,39,36,3,2,16,0,4,6
55360534,0,,,540,272,268,85,50,35,453,221,232,342,172,170,431,209,222,422,205,217,111,49,62,51,21,30,14,7,7,0,0,0,1,0,1,187,187,33,52,43,36,12,8,3,153,125,28,29,73,0,15,12
55360535,0,,,12,7,5,1,1,0,11,6,5,6,4,2,11,6,5,11,6,5,5,2,3,3,2,1,0,0,0,0,0,0,0,0,0,5,5,1,2,1,1,0,0,0,4,4,0,0,3,0,1,1
55360537,0,,,1245,605,640,129,65,64,1112,537,575,820,405,415,1075,518,557,1050,499,551,292,132,160,116,47,69,24,6,18,4,1,3,2,1,1,435,435,68,125,113,78,34,14,3,365,295,70,38,196,4,28,52
55360538,0,,,468,222,246,73,39,34,395,183,212,275,134,141,381,174,207,377,172,205,120,49,71,65,20,45,23,7,16,3,1,2,1,1,0,147,146,21,38,36,25,15,8,3,124,97,27,20,71,0,12,14
55360539,0,,,27,12,15,0,0,0,26,11,15,11,4,7,26,11,15,26,11,15,15,7,8,6,1,5,2,0,2,2,0,2,0,0,0,12,12,3,4,4,1,0,0,0,9,8,1,0,9,0,2,1
55360544,0,,,202,96,106,45,20,25,157,76,81,114,57,57,148,69,79,148,69,79,43,19,24,17,6,11,7,3,4,0,0,0,5,2,3,64,64,6,21,16,11,3,3,4,57,46,11,15,27,0,3,8
55360545,0,,,398,203,195,36,18,18,358,183,175,232,128,104,347,176,171,338,171,167,126,55,71,63,27,36,18,6,12,1,0,1,1,0,1,138,138,27,36,35,19,12,5,4,110,78,32,10,80,3,11,13
55360546,0,,,136,64,72,25,12,13,111,52,59,81,38,43,104,48,56,101,48,53,30,14,16,14,7,7,7,4,3,0,0,0,0,0,0,36,36,2,9,6,7,5,4,3,33,20,13,6,17,0,0,4
55360547,0,,,543,266,277,98,48,50,440,216,224,339,173,166,415,200,215,400,190,210,101,43,58,38,12,26,15,4,11,0,0,0,1,0,1,191,191,40,44,41,46,13,6,1,150,133,17,31,66,4,14,17
55360548,0,,,68,31,37,4,1,3,64,30,34,40,22,18,64,30,34,62,30,32,24,8,16,20,7,13,4,0,4,0,0,0,0,0,0,25,25,6,6,5,5,3,0,0,19,12,7,0,16,0,4,3
55360549,0,,,73,34,39,3,2,1,70,32,38,40,21,19,67,31,36,66,30,36,30,11,19,11,4,7,4,1,3,0,0,0,0,0,0,27,27,4,12,4,5,0,1,1,23,17,6,0,20,0,4,6
55360554,0,,,463,224,239,48,22,26,415,202,213,339,164,175,396,193,203,386,187,199,76,38,38,31,15,16,3,0,3,0,0,0,1,0,1,159,159,25,39,43,39,6,4,3,134,118,16,11,52,3,11,13
55360555,0,,,2033,982,1051,288,146,142,1713,817,896,1214,600,614,1650,784,866,1611,764,847,499,217,282,278,103,175,114,27,87,9,3,6,16,10,6,745,742,192,208,141,129,44,19,9,540,450,90,91,277,46,58,71
55360556,0,,,1178,592,586,183,97,86,980,487,493,702,354,348,938,464,474,918,456,462,278,133,145,106,51,55,27,10,17,3,2,1,3,1,2,420,420,92,113,81,79,36,13,6,324,270,54,43,187,8,29,45
55360557,1,,55360558,327,154,173,53,27,26,286,132,154,185,89,96,278,127,151,274,126,148,101,43,58,52,21,31,20,6,14,2,0,2,0,0,0,103,103,14,28,24,17,13,8,2,92,61,31,17,63,0,8,15
55360558,2,55360557,,12,5,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55360559,0,,,34,15,19,5,2,3,29,13,16,20,9,11,24,11,13,23,11,12,9,4,5,4,1,3,2,1,1,0,0,0,0,0,0,9,9,2,1,1,1,1,3,0,7,3,4,0,6,0,2,0
55360564,0,,,427,206,221,45,24,21,381,182,199,236,119,117,368,178,190,362,176,186,145,63,82,64,21,43,17,3,14,1,0,1,7,5,2,154,154,38,39,33,24,10,5,5,113,82,31,11,96,4,21,16
55360565,0,,,3512,1733,1779,586,331,255,2904,1387,1517,2055,1035,1020,2814,1339,1475,2756,1310,1446,849,352,497,457,168,289,155,35,120,26,2,24,14,8,6,1255,1254,264,362,274,216,85,44,9,980,822,158,207,514,43,92,131
55360566,0,,,1863,887,976,296,145,151,1534,733,801,1000,500,500,1468,702,766,1438,687,751,534,233,301,278,115,163,87,28,59,3,0,3,7,6,1,676,675,155,199,115,122,56,22,6,514,421,93,80,346,20,69,112
55360567,0,,,227,114,113,29,16,13,198,98,100,107,57,50,195,97,98,194,97,97,91,41,50,49,18,31,22,6,16,0,0,0,3,3,0,78,78,15,20,15,19,5,3,1,63,35,28,7,57,4,9,12
55360568,0,,,95,43,52,5,2,3,90,41,49,50,26,24,88,41,47,87,40,47,40,15,25,17,4,13,8,1,7,0,0,0,0,0,0,31,31,4,8,9,4,4,2,0,27,15,12,0,25,0,3,4
55360569,0,,,39,21,18,6,4,2,33,17,16,18,10,8,32,16,16,32,16,16,15,7,8,7,2,5,5,1,4,0,0,0,0,0,0,14,14,1,7,2,2,2,0,0,13,10,3,2,12,0,1,5
55360574,2,55360575,,10,4,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55360575,1,,55360574,1921,897,1024,247,115,132,1679,783,896,1044,518,526,1633,762,871,1596,749,847,635,265,370,299,109,190,111,28,83,10,1,9,12,6,6,692,687,163,196,138,110,54,23,6,525,412,113,73,383,14,77,93
55360576,0,,,3136,1598,1538,487,281,206,2622,1300,1322,1881,962,919,2509,1243,1266,2443,1206,1237,741,338,403,362,154,208,89,29,60,6,1,5,18,8,10,1175,1174,288,324,244,198,79,29,12,864,746,118,172,485,42,103,135
